date,w_open_n,w_high_n,w_low_n,w_close_n,new_n,started_n,done_n,dayofweek_n,dayofmonth_n,dayofyear_n,weekofyear_n,month_n,target_n,y_ystrdy_n
2010-03-31,0.0,0.0,0.0,0.0,0.0005512679162072767,0.0005482456140350877,0.0,0.3333333333333333,0.9999999999999999,0.24450549450549453,0.23529411764705882,0.1818181818181818,0.0,
2010-04-01,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.5,0.0,0.24725274725274726,0.23529411764705882,0.2727272727272727,0.0,0.0001362769146906514
2010-04-02,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.6666666666666666,0.03333333333333333,0.25000000000000006,0.23529411764705882,0.2727272727272727,0.0,0.0
2010-04-03,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.8333333333333333,0.06666666666666668,0.2527472527472528,0.23529411764705882,0.2727272727272727,0.0,0.0
2010-04-04,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,1.0,0.1,0.25549450549450553,0.23529411764705882,0.2727272727272727,0.0,0.0
2010-04-05,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.25824175824175827,0.25490196078431376,0.2727272727272727,0.0,0.0
2010-04-06,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666669,0.260989010989011,0.25490196078431376,0.2727272727272727,0.0,0.0
2010-04-07,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.26373626373626374,0.25490196078431376,0.2727272727272727,0.0,0.0
2010-04-08,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.5,0.23333333333333334,0.26648351648351654,0.25490196078431376,0.2727272727272727,0.0,0.0
2010-04-09,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.6666666666666666,0.26666666666666666,0.2692307692307693,0.25490196078431376,0.2727272727272727,0.0,0.0
2010-04-10,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.8333333333333333,0.3,0.271978021978022,0.25490196078431376,0.2727272727272727,0.0,0.0
2010-04-11,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.27472527472527475,0.25490196078431376,0.2727272727272727,0.0,0.0
2010-04-12,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.2774725274725275,0.27450980392156865,0.2727272727272727,0.0,0.0
2010-04-13,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.2802197802197803,0.27450980392156865,0.2727272727272727,0.0,0.0
2010-04-14,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.3333333333333333,0.43333333333333335,0.282967032967033,0.27450980392156865,0.2727272727272727,0.0,0.0
2010-04-15,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.5,0.4666666666666667,0.28571428571428575,0.27450980392156865,0.2727272727272727,0.0,0.0
2010-04-16,0.00015659254619480113,0.0,0.0001567152483936687,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.2884615384615385,0.27450980392156865,0.2727272727272727,0.0,0.0
